id;codeTypePieceIdentite;DATE_OBTENTION;codePostal
1032603;1;27/08/80;1000
449324;1;13/10/80;7032
166477;1;04/09/80;4089
405643;1;01/12/84;1124
1213262;1;28/11/73;8000
1042530;1;02/02/82;8090
161974;1;27/11/81;4116
1005202;1;25/04/81;6000
5498;1;17/03/89;2080
1288676;1;01/12/80;3084
65243;1;25/05/72;2070
75846;3;17/03/83;8050
947170;1;11/06/81;2063
186401;1;18/01/82;9100
1008082;1;13/10/77;8011
230952;1;20/05/77;2041
52879;1;14/04/77;6001
125503;1;25/05/76;2080
1303593;1;17/04/80;3031
276326;1;25/02/81;5090
947406;1;22/05/81;3000
1303568;1;14/01/85;3000
183049;1;14/01/85;2013
420421;1;20/10/84;2080
87259;1;09/09/99;2000
294355;1;07/09/99;2063
1071397;1;23/12/98;2092
377561;1;21/09/98;2028
45100;1;24/06/98;2080
894896;1;28/08/02;2000
1224229;1;09/03/84;1005
373835;1;25/03/83;2000
888157;1;07/04/83;2074
1301333;1;21/05/81;1003
56464;1;12/11/98;2051
893245;1;27/04/99;2080
290508;1;16/11/98;2036
221758;1;20/02/99;2051
882846;1;22/04/77;4040
1228319;1;04/01/85;2070
1368145;1;18/02/02;8025
162630;1;12/03/01;2010
179149;1;16/01/90;2041
70635;1;06/11/87;2087
170668;1;04/09/87;2040
879915;1;10/05/96;2060
1284216;1;16/06/77;9180
1231671;1;02/07/81;1004
983349;1;21/09/78;2080
898138;1;31/12/84;2080
1226489;1;07/12/83;1004
314983;1;30/04/84;2046
314980;1;13/12/83;2037
71744;1;15/01/82;0
158494;1;30/03/82;1000
1319109;1;27/01/82;2089
1022880;1;13/01/82;2074
1301590;1;03/02/82;1055
1079983;1;25/01/82;2000
30060;1;03/03/82;1064
340943;1;29/10/02;2087
234730;1;14/12/95;3000
1304161;1;28/12/95;3000
35372;1;14/04/80;2050
1299998;1;06/03/80;1100
979948;1;06/03/80;2074
1041161;1;28/11/79;3027
379020;1;09/05/03;1000
947245;1;14/06/03;2013
322183;1;18/02/03;2036
244382;1;10/08/02;1091
1292281;1;12/12/02;6180
250525;1;23/12/02;2082
150987;1;08/10/60;2070
260296;1;02/10/71;2092
905514;1;22/01/80;2021
1291058;1;12/02/76;4134
1219388;1;04/06/94;2052
132959;1;14/10/94;1000
913991;1;05/10/99;1005
226722;1;25/12/00;2080
357485;1;28/02/01;1145
865604;1;27/03/97;2090
910903;1;25/04/03;1095
393243;1;12/03/03;2000
307020;1;30/11/81;2083
45379;1;26/08/81;2081
892376;1;11/06/81;8100
1080544;1;10/10/08;2015
410647;1;16/06/09;2000
404074;1;04/05/09;2045
1365043;1;06/02/09;6051
876539;1;14/06/76;2091
982257;1;10/05/77;4011
1234862;1;07/01/77;3000
917199;1;21/04/10;2054
422715;1;01/07/87;4030
885808;1;18/05/87;2080
868984;1;03/04/86;2052
344205;1;04/07/87;2013
1064781;1;22/06/12;1005
84429;1;11/01/12;2070
1081532;1;25/02/12;2076
1101571;1;19/08/93;3000
396634;1;27/06/91;3000
1211576;1;18/12/91;
368157;1;28/11/00;1005
1035167;1;05/06/01;1074
426755;1;05/04/01;2030
84259;1;19/09/01;2063
894266;1;07/07/92;2034
893235;1;07/07/92;2000
998237;1;23/04/90;2045
180255;1;19/01/91;2062
1263857;1;22/06/82;1005
144807;1;29/08/61;2000
1025098;1;16/04/83;2070
528354;1;25/01/83;2000
288134;1;31/08/82;2091
173244;1;12/05/82;2082
366944;1;04/04/83;2080
1219184;1;31/12/82;1053
1318863;1;25/01/83;4116
404632;1;20/10/82;1000
76172;1;07/04/83;2074
171655;1;25/11/82;2052
1297418;1;18/12/82;2015
311013;1;23/06/82;2017
999747;1;25/10/85;2010
30073;1;09/10/85;3000
1399490;1;06/02/86;2034
907446;3;07/04/86;2010
488828;1;20/04/07;2052
899795;1;05/11/84;2011
189488;1;26/01/73;4012
64619;1;07/08/72;1004
1212015;1;27/08/53;9999
1033278;1;11/07/53;1002
1215028;1;05/04/91;2070
526900;1;22/09/92;3000
376037;1;24/11/83;9000
893964;1;04/09/81;2024
1399525;1;07/12/76;3003
873781;1;08/07/75;1012
1385941;1;09/08/79;1001
366401;1;12/07/02;2086
967784;1;02/11/02;2089
403828;1;31/08/02;2076
1099324;1;31/08/02;1069
394939;1;14/03/86;5020
890763;1;25/04/86;2050
230636;1;05/06/86;2036
897848;3;07/06/86;2060
1082774;1;31/12/85;2094
555913;1;09/11/85;1001
1372383;1;04/09/85;
437555;1;26/05/92;2084
1296169;1;17/07/79;4000
1317058;1;03/12/79;4071
307019;1;21/08/78;4011
1040802;1;20/06/69;1000
992643;1;28/07/70;6000
236230;1;09/06/80;8090
1003542;1;07/10/80;5180
314991;1;09/06/80;2011
119700;1;07/06/80;1013
1104155;1;29/09/80;3000
1028912;1;24/11/80;2200
427027;1;17/11/87;2050
522544;1;18/11/87;2000
179741;1;19/11/87;2092
145050;1;24/11/89;1003
400837;1;12/04/03;2074
512420;1;12/04/79;3000
882800;1;10/02/79;2083
1079486;1;23/04/79;
166597;1;14/05/79;7000
939004;1;17/07/73;2034
1099317;1;09/02/77;2050
446473;1;13/11/85;2010
861692;1;30/12/83;2070
1213300;1;12/01/84;8000
387115;1;31/01/86;2045
63925;1;26/02/54;2036
1024526;1;23/11/62;1057
890325;1;26/07/60;2073
898172;1;14/06/65;2034
1384764;1;06/03/79;9170
884014;1;28/04/79;2052
1007783;1;15/02/78;3000
1302591;1;04/10/60;7180
1313332;1;13/10/80;3000
202221;1;28/08/80;3021
384631;1;17/09/80;2090
845537;1;19/09/80;2040
210087;1;13/12/80;3000
202950;1;24/04/00;1001
88400;1;10/10/96;1008
48852;1;09/11/00;1000
1041874;1;20/04/77;2082
252342;1;20/05/76;7100
1098503;1;11/05/77;2050
45013;1;22/10/82;9010
250912;1;30/09/82;2070
979999;1;27/03/69;2092
143947;1;12/01/73;7030
1001352;1;07/05/68;2015
887343;1;12/11/74;4054
887985;1;18/05/81;2000
179737;1;25/03/81;3000
1216456;1;08/07/81;4040
909976;1;18/12/81;8090
1399982;1;01/09/84;5050
1085705;1;02/04/80;3100
1033342;1;23/01/84;7000
65407;1;03/11/83;2080
1220074;1;11/11/83;2037
1080629;1;30/03/84;1091
180546;1;27/01/84;1009
1219716;1;28/01/84;2073
252082;1;25/01/84;4089
982563;1;30/01/84;2033
206688;1;30/01/84;2042
536109;1;27/06/85;2045
1083374;1;03/02/87;2000
981464;1;14/03/88;2034
498818;1;04/06/87;2080
1032248;1;27/03/87;2066
31420;1;07/04/87;2013
895429;1;16/03/05;1006
316377;1;08/02/05;2036
459430;1;16/09/06;1110
221269;1;21/02/90;3000
1323347;1;05/09/89;1053
1165091;1;01/03/90;3000
349510;1;14/03/90;2036
379877;1;16/11/15;1095
438157;1;04/06/13;2051
365740;1;12/12/13;2000
918511;1;29/05/96;3000
908747;1;08/06/96;2073
1081048;1;23/08/97;3021
273953;1;09/11/96;2045
940899;1;25/11/96;3067
1048177;1;25/01/99;3049
1364316;1;08/01/04;3000
1215407;1;21/07/84;2037
899347;1;21/09/84;2000
362025;1;17/11/84;2083
148314;1;13/10/81;4000
341645;1;09/12/81;5000
150873;1;11/07/81;3000
1398052;1;26/08/81;2037
162096;1;04/11/81;1004
1223108;1;12/08/81;2066
35215;1;30/03/87;7040
957595;1;29/11/83;2084
1291744;1;14/02/84;2051
983491;1;09/06/89;1009
1032668;1;22/11/88;2062
185233;1;30/08/89;1000
407224;1;30/03/89;2034
400357;1;12/09/81;2036
182212;1;03/01/78;0
991433;1;01/07/76;2063
1025983;1;29/06/76;1004
31879;1;03/06/77;3000
1227033;1;07/11/77;4116
1104986;1;22/05/76;3000
412801;1;08/09/80;
34553;1;23/05/80;3100
232285;1;06/11/84;5076
55528;1;18/06/02;
913368;1;27/08/02;2094
382700;1;08/03/84;2033
249035;1;10/03/84;2082
512749;1;18/02/83;2031
1071740;1;11/09/84;1000
956380;1;01/12/84;2120
86073;1;27/09/84;2041
1297644;1;27/09/84;2050
1263571;1;03/05/73;2092
271365;1;05/01/77;1000
1064996;1;24/11/84;3002
366465;1;22/08/81;5130
984670;1;20/06/84;6000
499376;1;23/07/83;2045
1519028;1;02/07/83;1110
386081;1;26/06/84;2076
1084693;1;27/06/84;2070
308829;1;02/09/89;3000
515973;1;27/07/88;2070
1060531;1;18/03/89;7110
1216812;1;11/10/88;2016
422134;1;30/07/88;3140
1052537;1;20/05/77;2037
1081618;1;09/06/76;NULL
33466;1;05/07/76;2064
383418;1;10/05/80;2070
435595;1;23/01/80;8070
884854;1;12/02/80;5000
417706;1;06/05/81;6080
154280;1;22/02/85;2083
893005;1;01/12/84;2010
455501;1;13/12/84;6135
884781;1;20/10/84;2010
864413;1;07/03/96;3002
447296;1;28/08/02;1001
886201;1;15/03/83;2074
881312;1;26/02/83;2026
32731;1;21/05/81;1110
72845;1;01/07/99;1140
1103019;1;12/04/77;7000
1065602;1;09/07/75;3041
64056;1;25/09/75;4000
895846;1;10/10/75;8050
998127;1;26/04/77;2000
1220130;1;11/07/88;1000
370692;1;18/02/02;1009
1308358;1;14/08/92;3011
76986;1;09/12/15;2070
1301496;1;23/08/96;2010
63264;1;30/05/00;2036
399646;1;05/02/81;2050
154582;1;18/06/73;2092
903482;1;17/09/80;8100
34544;1;06/12/83;1009
358673;1;22/06/83;1057
1037451;1;04/11/81;3000
1319014;1;06/01/82;3061
1386089;1;25/01/82;
1052704;1;06/04/82;2074
49716;1;13/04/82;2030
959166;1;24/04/82;2080
375390;1;10/02/82;2080
890966;1;03/03/82;2063
902559;1;16/01/82;2040
267486;1;04/05/83;2092
912719;1;19/09/02;2070
297791;1;19/07/02;1095
1102743;1;17/08/02;2070
1041346;1;12/10/96;3000
1080973;1;13/06/95;3000
872585;1;07/03/80;7000
511648;1;24/12/79;6032
1213965;1;17/10/79;4180
166402;1;05/02/80;2074
940574;1;27/05/03;8000
70438;1;30/11/02;2070
965543;1;21/02/83;2089
1327246;1;02/01/03;2074
351388;1;21/05/03;1003
834063;1;28/10/02;1053
171542;1;21/12/02;2060
1011635;1;06/09/02;2036
395310;1;27/11/80;3030
1228229;1;18/04/73;2070
189799;1;14/06/94;7016
404192;1;03/08/95;2052
211990;1;21/03/00;1005
986215;1;21/12/00;2052
1000870;1;22/03/96;2073
998585;1;21/03/00;2021
371870;1;22/02/01;5180
436101;1;24/01/03;2011
881905;1;02/04/03;1074
903010;1;18/09/03;1009
943342;1;18/10/03;1055
893943;1;19/02/03;6170
49600;1;02/09/81;2017
202988;1;16/09/81;0
35433;1;18/07/81;4000
949950;1;02/10/08;2074
363207;1;31/03/86;2001
1000783;1;07/07/87;2080
274452;1;27/04/87;2010
506588;1;14/02/87;2052
222656;1;20/10/09;7150
334583;1;12/10/11;2022
1084566;1;12/10/11;2076
974585;1;04/12/90;4051
230700;1;28/09/93;3041
1009382;1;13/04/10;2092
892543;1;29/07/82;8060
146412;1;12/04/79;2036
1318874;1;05/12/66;6000
899660;1;17/11/82;1004
297633;1;23/08/84;7000
1213977;1;12/05/73;4100
1016923;1;22/07/02;2063
510238;1;23/03/02;2034
1307534;1;03/12/02;2045
878676;1;22/04/86;1055
1372232;2;08/01/86;
1215301;1;09/11/85;2013
974766;1;18/08/86;2013
208853;1;05/07/91;2092
1040704;1;10/08/92;2037
470394;1;30/05/92;2080
960921;1;13/06/79;2013
890920;1;21/06/79;2040
171470;1;27/06/68;1004
84460;1;26/02/82;2010
882858;1;15/07/80;4001
879337;1;21/08/80;8040
1314691;1;14/11/87;1135
192716;1;10/04/89;2060
488621;1;02/01/89;2045
1251629;1;24/11/89;4294
394422;1;31/08/88;2053
1070859;1;06/02/03;1005
382881;1;01/02/03;2070
1024166;1;23/12/02;2009
42340;1;02/12/71;7015
1079828;1;12/02/02;1075
519639;1;04/02/02;8030
30624;1;14/02/02;1110
30531;1;11/04/87;6114
475529;1;01/03/02;2013
73450;1;05/05/82;2080
889937;1;01/03/82;2052
28276;1;30/08/83;2051
59636;1;26/03/83;3021
374661;1;24/06/82;7000
1091530;1;01/08/61;3000
882021;1;26/06/82;2045
890178;1;25/06/82;1055
1069644;1;19/02/86;2092
1382435;1;06/02/86;2000
218257;1;02/09/86;2081
894067;1;06/09/86;2080
444665;1;10/12/84;5180
1221293;1;06/02/73;6061
1228272;1;14/07/73;2025
1092292;1;14/07/73;4000
898855;1;30/09/72;2070
975017;1;13/06/03;2000
1040364;1;08/09/00;4170
1307064;1;25/01/01;4051
57381;1;27/01/01;
1065593;1;08/09/67;
982371;1;20/11/62;2037
1377502;1;24/03/82;2026
887763;1;14/07/82;1009
900100;1;17/10/88;2084
896463;1;19/07/88;3018
955146;1;03/07/06;2074
1019063;1;02/08/05;2096
508270;1;25/02/05;8024
1301814;1;28/01/80;1074
895976;1;31/12/79;8050
538723;1;03/07/80;2050
300623;1;10/03/80;1004
1071291;1;28/11/78;2036
200463;1;15/05/79;2089
946512;1;24/11/78;2080
412740;1;27/11/78;2015
1371850;1;23/01/79;
34496;1;12/06/80;3000
514015;1;19/02/02;1002
178449;1;19/03/02;2086
189872;1;16/01/02;1000
1230625;1;02/02/02;2010
162021;1;06/12/67;2014
1297675;1;21/05/63;2070
1296074;1;06/12/68;2036
484660;1;22/01/09;1009
1013618;1;05/03/09;1095
275617;1;23/02/09;2080
71155;1;04/11/08;2080
148357;1;06/03/74;1002
49542;1;11/03/76;1000
42567;1;31/10/74;2021
85414;1;24/06/94;8000
1099071;1;31/07/08;3000
893453;1;13/02/82;1130
1015546;1;25/01/82;2000
878675;1;12/03/82;8030
542087;1;12/12/81;2063
1385998;1;12/08/99;
1011638;1;16/11/00;2010
28757;1;27/10/00;2041
476144;1;01/12/00;2011
1234730;1;01/03/97;1009
407917;1;23/01/01;2087
1299290;1;07/09/00;2052
1290712;1;24/05/84;2082
406887;1;24/05/84;2083
1018582;1;01/11/83;2036
70707;1;30/06/72;4100
975097;1;26/06/81;2050
1305011;1;28/09/78;3018
1362554;1;15/01/75;2001
1024597;1;01/08/73;2025
565608;1;17/12/81;1009
881852;1;24/06/82;1124
231610;1;19/12/80;7000
345188;1;19/09/67;8000
1018862;1;06/02/80;8070
1084629;1;12/07/84;5000
191983;1;05/10/81;2096
1382303;1;21/07/84;2080
983945;1;11/07/84;2010
1298004;1;11/05/83;3000
206713;1;11/05/83;3003
249087;1;05/10/88;1002
1367577;1;20/02/89;1004
526618;1;26/06/73;0
356692;1;09/12/74;2010
889811;1;30/08/74;2000
233492;1;27/04/09;3042
233423;1;14/03/06;3000
32281;1;11/06/08;3044
241644;1;28/08/97;3000
387296;1;14/06/02;3000
1322975;1;03/10/02;3002
912207;1;16/04/87;3011
396906;1;02/05/09;3000
348734;1;17/10/09;0
220343;1;22/07/08;3000
1012132;1;09/01/09;3000
1093333;1;03/01/04;3000
1085059;1;03/01/04;3000
1096826;1;22/07/04;3000
1082114;1;07/08/10;NULL
990192;1;31/03/11;1055
1302632;1;24/09/84;1055
1034510;1;20/11/84;2080
33873;1;22/11/84;2080
979150;1;17/11/84;2033
1032407;1;27/09/84;2000
306919;1;15/01/82;2063
250003;1;24/11/84;1004
32130;1;18/11/81;2075
875736;1;29/07/81;2013
1071407;1;26/09/81;2080
188850;1;23/09/81;5031
30027;1;12/10/81;4011
867732;1;15/12/81;2086
1220194;1;22/09/81;1002
960307;1;15/09/81;6072
1033771;1;06/10/81;7000
66179;1;18/02/84;1019
1225638;1;19/06/84;2037
466452;1;20/06/84;2074
31579;1;23/07/83;4010
905097;1;25/06/84;2073
487393;1;29/11/83;2034
1068180;1;12/01/89;2033
1078857;1;21/05/60;5070
1296928;1;25/05/70;1004
1026341;1;24/04/02;2091
151644;1;18/07/89;1001
1097667;1;03/06/97;1002
1218980;1;30/01/02;2074
892548;1;18/05/82;2021
42509;1;27/11/82;2011
45014;1;01/04/83;1009
891099;1;11/05/82;2097
978987;1;14/09/82;2013
269884;1;23/03/60;4089
271985;1;26/10/82;2041
1222770;1;09/11/82;2037
162140;1;19/01/83;2015
50884;1;20/12/82;3100
472619;1;23/06/82;2066
944880;1;23/06/82;2070
1307763;1;23/06/82;1145
1218300;1;13/01/83;1005
323423;1;25/10/85;1004
374216;1;25/02/86;2040
874809;1;26/12/85;2042
307027;1;02/01/86;2009
538183;1;18/10/06;1001
1065928;1;10/07/07;2046
53671;1;24/02/07;
64848;1;31/10/06;2050
860839;1;23/09/06;1001
1103646;1;17/10/06;1008
900434;1;09/11/84;2042
1298045;1;19/09/71;3000
370219;1;23/01/73;3002
896364;1;30/10/71;1092
1216243;1;24/07/72;1004
1078462;1;28/07/72;4000
492238;1;12/07/72;3021
1052293;1;25/12/02;1000
1098694;1;24/03/83;7000
1220860;1;23/02/63;1004
1104971;1;11/03/66;2034
1042851;1;12/09/67;2000
887541;1;22/07/53;2070
33032;1;30/10/91;3060
351626;1;04/04/91;1000
1296398;1;06/04/91;3013
1305627;1;22/07/94;3041
151326;1;11/09/92;3021
30235;1;23/06/81;3061
1017043;1;08/06/82;2051
891618;1;24/11/81;8000
869045;1;06/11/81;4100
461393;1;27/01/82;5090
935794;1;22/04/88;1009
1005946;1;21/07/88;2092
882762;1;16/09/89;2034
1220630;1;13/05/88;2037
973607;1;17/07/80;3000
27681;1;04/07/80;2080
31315;1;26/03/80;2010
504717;1;10/04/80;2013
944258;1;24/01/79;2066
67341;1;22/05/79;2015
1093341;1;27/09/79;3000
192619;1;01/04/02;1064
1016807;1;08/03/68;1004
1100713;1;11/12/61;3000
1295001;1;27/09/66;2033
1083580;1;18/02/69;
437953;1;26/07/68;2078
35164;1;24/01/70;2010
739974;1;25/04/09;2037
325066;1;03/12/09;1000
892561;1;20/06/74;1002
315592;1;23/10/74;2063
1335697;1;10/10/75;7000
1323423;1;17/07/82;2062
210881;1;30/11/00;1135
1300318;1;13/01/97;2094
996158;1;23/11/00;2017
1071595;1;27/01/01;2026
1339164;1;17/02/96;8020
340687;1;02/11/83;2082
1300087;1;26/08/80;2000
159203;1;26/12/81;5200
390764;1;02/10/74;8030
1094835;1;10/06/80;2015
1381990;1;07/02/78;1013
992668;1;17/02/71;7000
337619;1;09/01/85;2040
1098664;1;08/01/85;2080
871157;1;15/04/64;5000
979862;1;21/09/84;1004
977353;1;12/10/82;8000
1094600;1;14/10/83;3000
412075;1;13/12/83;3000
1034248;1;17/03/01;2033
898576;1;24/05/84;3000
539145;1;27/10/83;3000
901981;1;04/10/88;2010
1301642;1;13/06/87;2000
34525;1;17/04/89;2016
978953;1;08/12/88;2034
961983;1;29/11/72;3012
1232222;1;04/04/72;2016
446457;1;01/11/73;2013
1576121;1;25/01/74;NULL
1072885;1;25/01/74;1200
1340945;1;21/08/71;2017
48611;1;04/08/71;2041
428733;1;07/12/74;2066
998537;1;09/12/74;1053
390156;1;06/11/73;3041
30965;1;02/01/75;2090
209241;1;19/12/74;1003
952419;1;29/04/09;3021
1327508;1;08/06/07;3000
1064978;1;06/11/06;3081
152855;1;27/04/06;3000
886188;1;17/07/84;2060
948549;1;17/07/84;2052
206036;1;06/10/78;5000
252942;1;18/08/81;3021
1517902;1;07/10/81;4070
1286779;1;21/08/81;8170
1229908;1;24/09/81;3200
1037414;1;26/06/84;2092
903638;1;23/04/84;2066
31434;1;21/11/83;2030
947696;1;14/02/84;2063
1361216;1;29/11/83;2092
226084;1;17/03/89;1145
307856;1;23/01/89;2037
1225662;1;13/04/88;2073
1098892;1;23/03/89;2050
1033124;1;23/03/89;2013
237743;1;20/01/89;2083
34809;1;31/08/89;1000
976798;1;02/10/76;4000
264720;1;30/08/79;
220035;1;25/01/79;2037
994057;1;27/01/79;1055
105001;1;20/11/78;8170
443970;1;16/03/79;7021
467505;1;07/09/82;1141
358793;1;08/01/80;4100
289425;1;11/01/82;2060
901072;1;29/12/83;1145
35499;1;17/05/84;2087
88480;1;04/10/63;2036
541663;1;26/09/63;2060
365234;1;10/02/78;4022
945220;1;17/10/78;1009
1067219;1;26/04/79;2000
1217931;1;26/08/60;9010
